name,genres,popularity
10 Years,alternative metal;christian rock;nu metal;post-grunge;rap rock,62
10cc,album rock;art rock;classic rock;classic uk pop;dance rock;folk rock;glam rock;mellow gold;rock;soft rock;symphonic rock;yacht rock,66
12 Stones,alternative metal;christian alternative rock;christian hard rock;christian rock;nu metal;post-grunge;rap rock,56
24-7 Spyz,funk metal;funk rock;rap rock,26
38 Special,album rock;classic rock;country rock;folk rock;hard rock;mellow gold;rock;soft rock;southern rock,62
AC/DC,album rock;australian rock;hard rock;rock,86
ANTHEM,j-metal;japanese heavy metal,38
Accept,album rock;german heavy metal;german metal;glam metal;hard rock;metal;power metal;rock;speed metal;thrash metal,63
Ace Frehley,album rock;glam metal;hard rock;metal;rock,51
Adelitas Way,alternative metal;christian rock;gymcore;nu metal;post-grunge;post-screamo;rap rock,61
Adler's Appetite,glam metal;rock drums;sleaze rock,9
Aerosmith,album rock;classic rock;hard rock;rock,81
Agent Steel,melodic thrash;metal;neo-trad metal;nwothm;old school thrash;speed metal;thrash metal;us power metal,29
Airbourne,glam metal;hard rock;metal;rock;wrestling,62
Alabama Thunderpussy,southern metal;stoner metal;stoner rock;virginia metal,32
Alcatrazz,album rock;glam metal;hard rock;metal;neo classical metal,36
Aldo Nova,album rock;canadian metal;classic canadian rock;glam metal;hard rock,43
Alice Cooper,album rock;blues rock;classic rock;detroit rock;glam metal;glam rock;hard rock;metal;protopunk;rock,40
Alice In Chains,alternative metal;alternative rock;grunge;hard rock;nu metal;rock,75
Alien Sex Fiend,dark wave;deathrock;gothic rock;industrial;industrial rock,38
All About Eve,dark wave;gothic rock,33
Allman Brothers Band,album rock;blues rock;classic rock;country rock;double drumming;electric blues;folk rock;hard rock;jam band;mellow gold;psychedelic rock;rock;roots rock;soft rock;southern rock,69
Alter Bridge,alternative metal;nu metal;post-grunge;rock,67
Alvin Lee,blues rock;british blues;country rock;electric blues;modern blues,44
Alvin Stardust,classic uk pop;glam rock,39
Andy Timmons,instrumental rock;neo classical metal;shred,45
Angel Witch,doom metal;hard rock;metal;nwobhm;nwothm;speed metal;thrash metal,40
Angra,brazilian metal;brazilian power metal;brazilian progressive metal;latin metal;metal;neo classical metal;power metal;progressive metal;progressive power metal;speed metal;symphonic metal,57
Annihilator,canadian metal;death metal;hard rock;metal;neo classical metal;old school thrash;power metal;speed metal;technical groove metal;thrash metal,51
Another Animal,hard alternative;supergroup,30
